cluster_name,customer_count,recency_mean,recency_median,frequency_mean,frequency_median,monetary_mean,monetary_median,monetary_sum,revenue_contribution_%,avg_customer_value
Loyal Customers,627,50.04,45.0,3.37,3.0,215917.52,217838.45,135380286.36,36.1,215917.52
Champions,242,56.22,45.0,5.21,5.0,347759.3,331007.69,84157749.58,22.44,347759.3
At Risk,721,58.6,52.0,1.61,2.0,101732.71,98855.02,73349285.43,19.56,101732.71
Potential Loyalists,352,175.1,170.5,2.47,2.0,162521.03,159401.21,57207402.14,15.25,162521.03
Lost Customers,330,265.07,268.5,1.18,1.0,75645.27,75438.82,24962940.52,6.66,75645.27
